Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"138,45","138,45","2,31"
2,"277,03","138,58","2,31"
3,"415,54","138,51","2,31"
4,"554,01","138,47","2,31"
5,"692,57","138,56","2,31"
6,"831,18","138,61","2,31"
7,"969,78","138,60","2,31"
8,"1108,32","138,54","2,31"
9,"1246,98","138,66","2,31"
10,"1385,55","138,57","2,31"
11,"1524,24","138,69","2,31"
12,"1662,76","138,52","2,31"
13,"1801,35","138,59","2,31"
14,"1939,96","138,61","2,31"
15,"2078,59","138,63","2,31"
16,"2217,34","138,75","2,31"
17,"2355,86","138,52","2,31"
18,"2494,44","138,58","2,31"
19,"2633,06","138,62","2,31"
20,"2771,71","138,65","2,31"
21,"2910,31","138,60","2,31"
22,"3048,89","138,58","2,31"
23,"3187,48","138,59","2,31"
24,"3326,09","138,61","2,31"
25,"3464,60","138,51","2,31"
26,"3603,12","138,52","2,31"
27,"3741,71","138,59","2,31"
28,"3880,45","138,74","2,31"
29,"4018,96","138,51","2,31"
30,"4157,68","138,72","2,31"
